left daughter	right daughter	split var	split point	status	prediction	nodeid	treeid
80	81	avg.disc.length_06	67.666668	1	NA	64	1
0	0	NA	0	-1	1	65	1
0	0	NA	0	-1	0	66	1
82	83	attention.level.contrib_05	0.0002545	1	NA	67	1
0	0	NA	0	-1	0	68	1
84	85	auth.increase_00	10	1	NA	69	1
0	0	NA	0	-1	0	70	1
0	0	NA	0	-1	1	71	1
86	87	attention.level.author_02	0.0045345	1	NA	72	1
0	0	NA	0	-1	0	73	1
0	0	NA	0	-1	0	74	1
88	89	num.displays_07	101011.5	1	NA	75	1
90	91	num.displays_02	63.5	1	NA	76	1
92	93	num.displays_06	83.5	1	NA	77	1
94	95	num.displays_05	339.5	1	NA	78	1
0	0	NA	0	-1	0	79	1
96	97	atomic.containers_00	51.5	1	NA	80	1
0	0	NA	0	-1	0	81	1
98	99	atomic.containers_00	28.5	1	NA	82	1
0	0	NA	0	-1	0	83	1
0	0	NA	0	-1	0	84	1
0	0	NA	0	-1	1	85	1
0	0	NA	0	-1	1	86	1
0	0	NA	0	-1	1	87	1
0	0	NA	0	-1	1	88	1
0	0	NA	0	-1	1	89	1
0	0	NA	0	-1	0	90	1
0	0	NA	0	-1	0	91	1
0	0	NA	0	-1	1	92	1
0	0	NA	0	-1	0	93	1
0	0	NA	0	-1	1	94	1
0	0	NA	0	-1	0	95	1
0	0	NA	0	-1	0	96	1
0	0	NA	0	-1	1	97	1
0	0	NA	0	-1	0	98	1
0	0	NA	0	-1	1	99	1
2	3	attention.level.author_04	0.0022665	1	NA	1	2
4	5	number.total.disc_07	1.5	1	NA	2	2
6	7	number.total.disc_00	1.5	1	NA	3	2
8	9	num.displays_04	1286.5	1	NA	4	2
10	11	num.displays_05	1684.5	1	NA	5	2
12	13	num.displays_00	1322	1	NA	6	2
14	15	number.total.disc_07	2.5	1	NA	7	2
16	17	avg.auths.per.disc_07	19.5	1	NA	8	2
18	19	num.displays_01	1840.5	1	NA	9	2
20	21	num.displays_07	1986	1	NA	10	2
22	23	num.displays_04	12713.5	1	NA	11	2
24	25	num.displays_00	1118	1	NA	12	2
26	27	attention.level.author_05	0.003138	1	NA	13	2
28	29	auth.increase_01	1.5	1	NA	14	2
30	31	contribution.sparseness_03	0.05005	1	NA	15	2
32	33	num.displays_06	648	1	NA	16	2
0	0	NA	0	-1	0	17	2
34	35	num.displays_04	3350.5	1	NA	18	2
36	37	num.displays_02	2334.5	1	NA	19	2
38	39	num.displays_00	1142.5	1	NA	20	2
0	0	NA	0	-1	1	21	2
40	41	num.authors.topic_02	2.5	1	NA	22	2
0	0	NA	0	-1	0	23	2
0	0	NA	0	-1	0	24	2
0	0	NA	0	-1	0	25	2
0	0	NA	0	-1	1	26	2
0	0	NA	0	-1	1	27	2
0	0	NA	0	-1	0	28	2
0	0	NA	0	-1	1	29	2
42	43	num.displays_02	1980	1	NA	30	2
0	0	NA	0	-1	0	31	2
44	45	avg.auths.per.disc_03	44.75	1	NA	32	2
46	47	avg.disc.length_02	17.5	1	NA	33	2
48	49	avg.disc.length_04	69	1	NA	34	2
0	0	NA	0	-1	0	35	2
0	0	NA	0	-1	0	36	2
50	51	burstiness_03	0.0833335	1	NA	37	2
52	53	num.displays_02	1217	1	NA	38	2
0	0	NA	0	-1	0	39	2
0	0	NA	0	-1	1	40	2
54	55	attention.level.author_02	0.001399	1	NA	41	2
0	0	NA	0	-1	0	42	2
56	57	attention.level.author_04	0.010344	1	NA	43	2
58	59	auth.increase_07	0.5	1	NA	44	2
0	0	NA	0	-1	0	45	2
60	61	contribution.sparseness_02	0.006758	1	NA	46	2
0	0	NA	0	-1	0	47	2
62	63	num.displays_01	1474.5	1	NA	48	2
0	0	NA	0	-1	1	49	2
0	0	NA	0	-1	1	50	2
0	0	NA	0	-1	1	51	2
64	65	attention.level.contrib_07	0.0085615	1	NA	52	2
0	0	NA	0	-1	1	53	2
0	0	NA	0	-1	0	54	2
66	67	burstiness_03	0.55	1	NA	55	2
68	69	atomic.containers_04	196	1	NA	56	2
70	71	attention.level.contrib_01	0.000436	1	NA	57	2
72	73	num.displays_02	63.5	1	NA	58	2
74	75	num.displays_02	326	1	NA	59	2
76	77	num.displays_07	1011	1	NA	60	2
0	0	NA	0	-1	0	61	2
0	0	NA	0	-1	0	62	2
0	0	NA	0	-1	0	63	2
78	79	auth.increase_01	4.5	1	NA	64	2
0	0	NA	0	-1	0	65	2
80	81	contribution.sparseness_01	0.0044845	1	NA	66	2
0	0	NA	0	-1	0	67	2
82	83	atomic.containers_02	38.5	1	NA	68	2
0	0	NA	0	-1	0	69	2
0	0	NA	0	-1	0	70	2
84	85	avg.auths.per.disc_07	3.7078895	1	NA	71	2
0	0	NA	0	-1	0	72	2
86	87	number.total.disc_04	0.5	1	NA	73	2
0	0	NA	0	-1	0	74	2
0	0	NA	0	-1	0	75	2
88	89	contribution.sparseness_00	0.0127435	1	NA	76	2
90	91	num.displays_02	599.5	1	NA	77	2
92	93	num.authors.topic_04	5.5	1	NA	78	2
0	0	NA	0	-1	0	79	2
0	0	NA	0	-1	1	80	2
0	0	NA	0	-1	1	81	2
94	95	avg.disc.length_06	137.5	1	NA	82	2
96	97	attention.level.contrib_02	0.0086345	1	NA	83	2
0	0	NA	0	-1	1	84	2
98	99	avg.disc.length_07	28.4817865	1	NA	85	2
0	0	NA	0	-1	0	86	2
0	0	NA	0	-1	0	87	2
0	0	NA	0	-1	0	88	2
0	0	NA	0	-1	0	89	2
0	0	NA	0	-1	1	90	2
0	0	NA	0	-1	0	91	2
0	0	NA	0	-1	0	92	2
0	0	NA	0	-1	0	93	2
0	0	NA	0	-1	1	94	2
0	0	NA	0	-1	0	95	2
0	0	NA	0	-1	1	96	2
0	0	NA	0	-1	1	97	2
0	0	NA	0	-1	1	98	2
0	0	NA	0	-1	1	99	2
2	3	num.displays_02	1784	1	NA	1	3
4	5	avg.auths.per.disc_00	2.1666665	1	NA	2	3
6	7	num.displays_02	3085	1	NA	3	3
8	9	attention.level.author_04	0.0004055	1	NA	4	3
10	11	number.total.disc_01	1.5	1	NA	5	3
12	13	contribution.sparseness_07	0.003945	1	NA	6	3
14	15	avg.auths.per.disc_06	3.9581125	1	NA	7	3
16	17	attention.level.author_07	0.0114805	1	NA	8	3
18	19	contribution.sparseness_07	0.0008145	1	NA	9	3
20	21	num.displays_07	2333	1	NA	10	3
22	23	contribution.sparseness_04	0.0470225	1	NA	11	3
24	25	attention.level.author_04	0.0031975	1	NA	12	3
26	27	num.displays_06	3410.5	1	NA	13	3
28	29	num.displays_02	3344	1	NA	14	3
30	31	attention.level.contrib_05	0.000525	1	NA	15	3
32	33	num.displays_01	1535	1	NA	16	3
0	0	NA	0	-1	0	17	3
34	35	avg.auths.per.disc_04	35.5	1	NA	18	3
36	37	num.displays_00	1303	1	NA	19	3
38	39	num.authors.topic_03	18	1	NA	20	3
0	0	NA	0	-1	1	21	3
40	41	attention.level.author_02	0.0032045	1	NA	22	3
0	0	NA	0	-1	0	23	3
0	0	NA	0	-1	0	24	3
0	0	NA	0	-1	1	25	3
42	43	avg.disc.length_03	11.9166665	1	NA	26	3
0	0	NA	0	-1	1	27	3
0	0	NA	0	-1	1	28	3
44	45	contribution.sparseness_04	0.03004	1	NA	29	3
0	0	NA	0	-1	1	30	3
46	47	avg.auths.per.disc_00	30.833333	1	NA	31	3
48	49	num.displays_04	771.5	1	NA	32	3
0	0	NA	0	-1	0	33	3
50	51	num.displays_06	1686.5	1	NA	34	3
0	0	NA	0	-1	0	35	3
52	53	attention.level.author_01	0.006537	1	NA	36	3
0	0	NA	0	-1	0	37	3
54	55	num.displays_03	1616.5	1	NA	38	3
0	0	NA	0	-1	1	39	3
56	57	atomic.containers_06	26	1	NA	40	3
0	0	NA	0	-1	1	41	3
0	0	NA	0	-1	1	42	3
58	59	avg.auths.per.disc_03	3.5833335	1	NA	43	3
60	61	number.total.disc_07	15.5	1	NA	44	3
0	0	NA	0	-1	0	45	3
62	63	attention.level.contrib_01	0.0087755	1	NA	46	3
0	0	NA	0	-1	0	47	3
64	65	auth.increase_05	4.5	1	NA	48	3
66	67	num.displays_04	791	1	NA	49	3
68	69	num.displays_00	989.5	1	NA	50	3
0	0	NA	0	-1	0	51	3
70	71	attention.level.author_02	0.0026685	1	NA	52	3
0	0	NA	0	-1	1	53	3
72	73	atomic.containers_04	19.5	1	NA	54	3
0	0	NA	0	-1	0	55	3
74	75	num.authors.topic_05	11.5	1	NA	56	3
0	0	NA	0	-1	0	57	3
0	0	NA	0	-1	0	58	3
0	0	NA	0	-1	1	59	3
76	77	avg.auths.per.disc_06	3.763889	1	NA	60	3
0	0	NA	0	-1	1	61	3
78	79	num.displays_02	25534	1	NA	62	3
80	81	num.displays_00	119407	1	NA	63	3
82	83	avg.auths.per.disc_07	13.5	1	NA	64	3
0	0	NA	0	-1	0	65	3
0	0	NA	0	-1	1	66	3
84	85	num.displays_06	1338	1	NA	67	3
0	0	NA	0	-1	0	68	3
0	0	NA	0	-1	0	69	3
86	87	avg.disc.length_06	108.75	1	NA	70	3
0	0	NA	0	-1	0	71	3
88	89	attention.level.contrib_07	0.013608	1	NA	72	3
0	0	NA	0	-1	0	73	3
90	91	num.displays_04	2218	1	NA	74	3
0	0	NA	0	-1	1	75	3
92	93	auth.increase_04	3.5	1	NA	76	3
0	0	NA	0	-1	0	77	3
94	95	atomic.containers_05	51	1	NA	78	3
0	0	NA	0	-1	0	79	3
96	97	number.total.disc_07	4.5	1	NA	80	3
0	0	NA	0	-1	1	81	3
98	99	num.new.disc_02	1.5	1	NA	82	3
0	0	NA	0	-1	0	83	3
0	0	NA	0	-1	0	84	3
0	0	NA	0	-1	0	85	3
0	0	NA	0	-1	0	86	3
0	0	NA	0	-1	0	87	3
0	0	NA	0	-1	0	88	3
0	0	NA	0	-1	1	89	3
0	0	NA	0	-1	0	90	3
0	0	NA	0	-1	1	91	3
0	0	NA	0	-1	1	92	3
0	0	NA	0	-1	1	93	3
0	0	NA	0	-1	1	94	3
0	0	NA	0	-1	1	95	3
0	0	NA	0	-1	1	96	3
0	0	NA	0	-1	1	97	3
0	0	NA	0	-1	0	98	3
0	0	NA	0	-1	0	99	3
2	3	attention.level.author_01	0.001935	1	NA	1	4
4	5	num.authors.topic_04	0.5	1	NA	2	4
6	7	num.displays_02	1832	1	NA	3	4
8	9	num.displays_00	1325.5	1	NA	4	4
10	11	num.displays_07	1998	1	NA	5	4
12	13	num.displays_06	780.5	1	NA	6	4
14	15	attention.level.author_04	0.0104645	1	NA	7	4
16	17	attention.level.author_07	0.0096125	1	NA	8	4
18	19	contribution.sparseness_06	0.055218	1	NA	9	4
20	21	attention.level.contrib_06	0.0001855	1	NA	10	4
22	23	burstiness_03	0.3095235	1	NA	11	4
0	0	NA	0	-1	0	12	4
24	25	num.displays_01	1001.5	1	NA	13	4
26	27	attention.level.author_05	0.0018815	1	NA	14	4
28	29	num.displays_00	4018	1	NA	15	4
30	31	num.displays_07	1456	1	NA	16	4
0	0	NA	0	-1	0	17	4
32	33	avg.auths.per.disc_07	11.5	1	NA	18	4
0	0	NA	0	-1	1	19	4
34	35	num.displays_03	1069.5	1	NA	20	4
36	37	num.displays_03	848	1	NA	21	4
38	39	avg.auths.per.disc_05	23.125	1	NA	22	4
40	41	atomic.containers_03	47	1	NA	23	4
0	0	NA	0	-1	0	24	4
42	43	auth.increase_06	3.5	1	NA	25	4
44	45	avg.auths.per.disc_05	22.333333	1	NA	26	4
46	47	burstiness_06	0.4494945	1	NA	27	4
0	0	NA	0	-1	1	28	4
48	49	avg.auths.per.disc_05	3.4965755	1	NA	29	4
50	51	contribution.sparseness_05	0.0281745	1	NA	30	4
0	0	NA	0	-1	0	31	4
52	53	attention.level.author_00	0.00524	1	NA	32	4
0	0	NA	0	-1	1	33	4
54	55	attention.level.author_02	0.006246	1	NA	34	4
0	0	NA	0	-1	0	35	4
56	57	num.displays_02	726	1	NA	36	4
58	59	attention.level.author_07	0.0021045	1	NA	37	4
60	61	num.authors.topic_01	2.5	1	NA	38	4
0	0	NA	0	-1	1	39	4
62	63	attention.level.author_01	0.0016155	1	NA	40	4
0	0	NA	0	-1	0	41	4
0	0	NA	0	-1	0	42	4
0	0	NA	0	-1	0	43	4
0	0	NA	0	-1	1	44	4
0	0	NA	0	-1	1	45	4
64	65	num.displays_06	36723.5	1	NA	46	4
66	67	auth.increase_01	4.5	1	NA	47	4
0	0	NA	0	-1	1	48	4
68	69	avg.auths.per.disc_05	3.9425465	1	NA	49	4
70	71	num.displays_00	399.5	1	NA	50	4
72	73	attention.level.author_00	0.000737	1	NA	51	4
74	75	avg.auths.per.disc_07	4.25	1	NA	52	4
0	0	NA	0	-1	1	53	4
76	77	attention.level.author_01	0.0006405	1	NA	54	4
0	0	NA	0	-1	0	55	4
78	79	num.new.disc_04	1.5	1	NA	56	4
0	0	NA	0	-1	0	57	4
0	0	NA	0	-1	0	58	4
0	0	NA	0	-1	0	59	4
80	81	num.displays_00	2148.5	1	NA	60	4
0	0	NA	0	-1	0	61	4
82	83	attention.level.contrib_00	0.004443	1	NA	62	4
0	0	NA	0	-1	0	63	4
84	85	attention.level.author_04	0.010332	1	NA	64	4
0	0	NA	0	-1	0	65	4
0	0	NA	0	-1	1	66	4
0	0	NA	0	-1	1	67	4
0	0	NA	0	-1	1	68	4
86	87	number.total.disc_06	58.5	1	NA	69	4
88	89	avg.auths.per.disc_06	0.5	1	NA	70	4
90	91	attention.level.author_05	0.003499	1	NA	71	4
0	0	NA	0	-1	0	72	4
0	0	NA	0	-1	0	73	4
92	93	num.displays_01	1901.5	1	NA	74	4
0	0	NA	0	-1	0	75	4
94	95	num.displays_03	696.5	1	NA	76	4
0	0	NA	0	-1	0	77	4
96	97	num.displays_00	525.5	1	NA	78	4
0	0	NA	0	-1	0	79	4
0	0	NA	0	-1	1	80	4
0	0	NA	0	-1	1	81	4
98	99	avg.auths.per.disc_06	8.75	1	NA	82	4
0	0	NA	0	-1	0	83	4
0	0	NA	0	-1	1	84	4
0	0	NA	0	-1	0	85	4
0	0	NA	0	-1	1	86	4
0	0	NA	0	-1	1	87	4
0	0	NA	0	-1	0	88	4
0	0	NA	0	-1	0	89	4
0	0	NA	0	-1	0	90	4
0	0	NA	0	-1	0	91	4
0	0	NA	0	-1	0	92	4
0	0	NA	0	-1	1	93	4
0	0	NA	0	-1	0	94	4
0	0	NA	0	-1	0	95	4
0	0	NA	0	-1	0	96	4
0	0	NA	0	-1	0	97	4
0	0	NA	0	-1	1	98	4
0	0	NA	0	-1	1	99	4
2	3	num.displays_01	1791.5	1	NA	1	5
4	5	num.displays_07	1618	1	NA	2	5
6	7	num.displays_07	3497.5	1	NA	3	5
8	9	num.displays_02	662.5	1	NA	4	5
10	11	attention.level.contrib_03	0.000303	1	NA	5	5
12	13	atomic.containers_03	43.5	1	NA	6	5
14	15	attention.level.author_06	0.0146925	1	NA	7	5
16	17	num.authors.topic_07	41	1	NA	8	5
18	19	atomic.containers_03	152.5	1	NA	9	5
20	21	num.displays_01	559.5	1	NA	10	5
22	23	num.displays_02	2411	1	NA	11	5
24	25	num.displays_01	3066	1	NA	12	5
0	0	NA	0	-1	0	13	5
26	27	avg.auths.per.disc_04	4.1583335	1	NA	14	5
28	29	contribution.sparseness_07	0.0017925	1	NA	15	5
30	31	num.displays_00	399	1	NA	16	5
0	0	NA	0	-1	1	17	5
32	33	contribution.sparseness_06	0.1020835	1	NA	18	5
0	0	NA	0	-1	1	19	5
0	0	NA	0	-1	1	20	5
34	35	attention.level.contrib_02	0.000317	1	NA	21	5
36	37	avg.disc.length_02	9.75	1	NA	22	5
0	0	NA	0	-1	1	23	5
38	39	attention.level.author_07	0.0014345	1	NA	24	5
0	0	NA	0	-1	0	25	5
40	41	attention.level.author_05	0.000958	1	NA	26	5
42	43	num.displays_07	107224	1	NA	27	5
0	0	NA	0	-1	0	28	5
44	45	atomic.containers_06	851.5	1	NA	29	5
46	47	num.authors.topic_07	9.5	1	NA	30	5
48	49	avg.auths.per.disc_00	4.875	1	NA	31	5
50	51	avg.auths.per.disc_07	30.5	1	NA	32	5
0	0	NA	0	-1	1	33	5
52	53	burstiness_06	0.6333335	1	NA	34	5
0	0	NA	0	-1	1	35	5
0	0	NA	0	-1	0	36	5
0	0	NA	0	-1	0	37	5
54	55	attention.level.author_04	0.003222	1	NA	38	5
0	0	NA	0	-1	1	39	5
0	0	NA	0	-1	1	40	5
56	57	avg.disc.length_07	20.741667	1	NA	41	5
58	59	contribution.sparseness_04	0.0109805	1	NA	42	5
0	0	NA	0	-1	0	43	5
60	61	atomic.containers_03	462	1	NA	44	5
0	0	NA	0	-1	1	45	5
62	63	number.total.disc_05	1.5	1	NA	46	5
0	0	NA	0	-1	0	47	5
64	65	num.displays_04	946.5	1	NA	48	5
0	0	NA	0	-1	0	49	5
66	67	avg.disc.length_05	149	1	NA	50	5
0	0	NA	0	-1	0	51	5
68	69	avg.auths.per.disc_03	22	1	NA	52	5
0	0	NA	0	-1	1	53	5
0	0	NA	0	-1	0	54	5
0	0	NA	0	-1	1	55	5
0	0	NA	0	-1	1	56	5
70	71	avg.auths.per.disc_07	2.3944445	1	NA	57	5
72	73	num.displays_02	12476	1	NA	58	5
74	75	avg.auths.per.disc_06	100	1	NA	59	5
76	77	number.total.disc_01	5.5	1	NA	60	5
0	0	NA	0	-1	1	61	5
78	79	num.displays_03	746	1	NA	62	5
0	0	NA	0	-1	0	63	5
80	81	avg.auths.per.disc_07	14.785714	1	NA	64	5
0	0	NA	0	-1	0	65	5
82	83	num.new.disc_01	2.5	1	NA	66	5
0	0	NA	0	-1	1	67	5
0	0	NA	0	-1	0	68	5
0	0	NA	0	-1	1	69	5
0	0	NA	0	-1	1	70	5
0	0	NA	0	-1	1	71	5
84	85	contribution.sparseness_00	0.02061	1	NA	72	5
0	0	NA	0	-1	1	73	5
86	87	atomic.containers_02	161.5	1	NA	74	5
0	0	NA	0	-1	0	75	5
0	0	NA	0	-1	1	76	5
88	89	num.displays_04	109252	1	NA	77	5
90	91	num.displays_06	68.5	1	NA	78	5
0	0	NA	0	-1	0	79	5
92	93	atomic.containers_07	120	1	NA	80	5
0	0	NA	0	-1	0	81	5
94	95	num.authors.topic_03	18	1	NA	82	5
0	0	NA	0	-1	0	83	5
96	97	avg.auths.per.disc_06	10.55	1	NA	84	5
0	0	NA	0	-1	0	85	5
98	99	contribution.sparseness_07	0.0710785	1	NA	86	5
0	0	NA	0	-1	1	87	5
0	0	NA	0	-1	1	88	5
0	0	NA	0	-1	1	89	5
0	0	NA	0	-1	0	90	5
0	0	NA	0	-1	0	91	5
0	0	NA	0	-1	0	92	5
0	0	NA	0	-1	1	93	5
0	0	NA	0	-1	0	94	5
0	0	NA	0	-1	0	95	5
0	0	NA	0	-1	1	96	5
0	0	NA	0	-1	1	97	5
0	0	NA	0	-1	1	98	5
0	0	NA	0	-1	0	99	5
2	3	number.total.disc_02	2.5	1	NA	1	6
4	5	attention.level.contrib_00	0.000109	1	NA	2	6
6	7	num.displays_00	2008	1	NA	3	6
8	9	num.displays_01	1553.5	1	NA	4	6
10	11	attention.level.author_07	0.002146	1	NA	5	6
12	13	num.displays_01	2346	1	NA	6	6
14	15	num.new.disc_04	6.5	1	NA	7	6
16	17	num.displays_03	905	1	NA	8	6
18	19	num.displays_06	4577	1	NA	9	6
20	21	attention.level.contrib_01	0.0005975	1	NA	10	6
22	23	num.displays_01	1443.5	1	NA	11	6
24	25	avg.auths.per.disc_04	3.4807695	1	NA	12	6
0	0	NA	0	-1	1	13	6
26	27	atomic.containers_00	222.5	1	NA	14	6
28	29	atomic.containers_05	1086	1	NA	15	6
30	31	atomic.containers_07	161.5	1	NA	16	6
32	33	num.displays_05	2239.5	1	NA	17	6
34	35	num.displays_03	5307.5	1	NA	18	6
0	0	NA	0	-1	1	19	6
36	37	num.displays_07	1606.5	1	NA	20	6
38	39	contribution.sparseness_01	0.029706	1	NA	21	6
40	41	num.authors.topic_07	27.5	1	NA	22	6
42	43	avg.auths.per.disc_06	3.625	1	NA	23	6
0	0	NA	0	-1	0	24	6
0	0	NA	0	-1	0	25	6
44	45	attention.level.author_07	0.008536	1	NA	26	6
0	0	NA	0	-1	0	27	6
46	47	avg.disc.length_02	8.0753965	1	NA	28	6
0	0	NA	0	-1	1	29	6
48	49	attention.level.author_01	0.006537	1	NA	30	6
0	0	NA	0	-1	1	31	6
50	51	atomic.containers_07	0.5	1	NA	32	6
0	0	NA	0	-1	1	33	6
52	53	num.displays_07	2100.5	1	NA	34	6
0	0	NA	0	-1	0	35	6
54	55	avg.disc.length_01	133.5	1	NA	36	6
56	57	contribution.sparseness_00	0.014122	1	NA	37	6
58	59	num.displays_07	1949	1	NA	38	6
0	0	NA	0	-1	0	39	6
60	61	avg.disc.length_00	2.75	1	NA	40	6
0	0	NA	0	-1	1	41	6
0	0	NA	0	-1	1	42	6
0	0	NA	0	-1	1	43	6
62	63	num.displays_07	3345.5	1	NA	44	6
64	65	auth.increase_02	26	1	NA	45	6
0	0	NA	0	-1	0	46	6
66	67	burstiness_06	0.3366665	1	NA	47	6
68	69	attention.level.author_04	0.005899	1	NA	48	6
0	0	NA	0	-1	0	49	6
70	71	avg.disc.length_04	120	1	NA	50	6
72	73	num.displays_07	1300	1	NA	51	6
0	0	NA	0	-1	0	52	6
74	75	attention.level.author_04	0.0050065	1	NA	53	6
76	77	avg.auths.per.disc_06	0.5	1	NA	54	6
0	0	NA	0	-1	0	55	6
78	79	avg.disc.length_03	2.5	1	NA	56	6
0	0	NA	0	-1	0	57	6
0	0	NA	0	-1	0	58	6
0	0	NA	0	-1	1	59	6
0	0	NA	0	-1	1	60	6
80	81	atomic.containers_00	30.5	1	NA	61	6
0	0	NA	0	-1	0	62	6
82	83	atomic.containers_01	46.5	1	NA	63	6
84	85	num.displays_00	47925.5	1	NA	64	6
0	0	NA	0	-1	1	65	6
0	0	NA	0	-1	1	66	6
86	87	attention.level.contrib_05	0.04377	1	NA	67	6
88	89	num.displays_02	236.5	1	NA	68	6
0	0	NA	0	-1	0	69	6
90	91	num.displays_00	1013	1	NA	70	6
0	0	NA	0	-1	1	71	6
0	0	NA	0	-1	0	72	6
0	0	NA	0	-1	0	73	6
92	93	burstiness_02	0.25	1	NA	74	6
0	0	NA	0	-1	0	75	6
94	95	num.displays_00	427.5	1	NA	76	6
96	97	attention.level.contrib_03	0.000714	1	NA	77	6
0	0	NA	0	-1	1	78	6
0	0	NA	0	-1	0	79	6
98	99	atomic.containers_03	0.5	1	NA	80	6
0	0	NA	0	-1	0	81	6
0	0	NA	0	-1	1	82	6
0	0	NA	0	-1	1	83	6
0	0	NA	0	-1	1	84	6
0	0	NA	0	-1	0	85	6
0	0	NA	0	-1	1	86	6
0	0	NA	0	-1	1	87	6
0	0	NA	0	-1	0	88	6
0	0	NA	0	-1	0	89	6
0	0	NA	0	-1	0	90	6
0	0	NA	0	-1	0	91	6
0	0	NA	0	-1	1	92	6
0	0	NA	0	-1	1	93	6
0	0	NA	0	-1	0	94	6
0	0	NA	0	-1	0	95	6
0	0	NA	0	-1	0	96	6
0	0	NA	0	-1	0	97	6
0	0	NA	0	-1	0	98	6
0	0	NA	0	-1	0	99	6
2	3	num.displays_01	1843	1	NA	1	7
4	5	num.displays_06	1298	1	NA	2	7
6	7	attention.level.author_05	0.005632	1	NA	3	7
8	9	num.displays_07	1616.5	1	NA	4	7
10	11	num.displays_05	2526	1	NA	5	7
12	13	num.displays_00	2821.5	1	NA	6	7
14	15	avg.auths.per.disc_05	3.951465	1	NA	7	7
16	17	attention.level.author_03	0.000705	1	NA	8	7
0	0	NA	0	-1	0	9	7
18	19	avg.auths.per.disc_07	7.125	1	NA	10	7
0	0	NA	0	-1	1	11	7
20	21	atomic.containers_02	6.5	1	NA	12	7
22	23	burstiness_03	0.3166665	1	NA	13	7
0	0	NA	0	-1	1	14	7
24	25	attention.level.author_07	0.001441	1	NA	15	7
26	27	attention.level.author_00	0.0119805	1	NA	16	7
28	29	attention.level.contrib_05	8.45e-05	1	NA	17	7
30	31	attention.level.author_04	0.00251	1	NA	18	7
32	33	attention.level.author_02	0.000181	1	NA	19	7
34	35	auth.increase_04	0.5	1	NA	20	7
0	0	NA	0	-1	0	21	7
36	37	avg.disc.length_07	125.5	1	NA	22	7
38	39	number.total.disc_01	5.5	1	NA	23	7
0	0	NA	0	-1	1	24	7
40	41	num.displays_02	3115.5	1	NA	25	7
42	43	attention.level.contrib_06	6.85e-05	1	NA	26	7
0	0	NA	0	-1	1	27	7
44	45	auth.increase_02	4.5	1	NA	28	7
46	47	num.displays_04	2711.5	1	NA	29	7
48	49	avg.disc.length_05	11.2083335	1	NA	30	7
0	0	NA	0	-1	0	31	7
0	0	NA	0	-1	1	32	7
0	0	NA	0	-1	0	33	7
